============================================================
superquant 模拟交易 (ML驱动)
  启动: 2026-06-26 11:29:56
  当前资金: ¥5,000
============================================================
  📦 恢复持仓: 300650 ¥14.87×300股
  📦 恢复持仓: 002141 ¥5.35×100股
  当前资金: ¥2, 持仓: 2只
  加载ML候选池...
  ML候选: 主力200只 + 探索0只 = 200只 (from DB)
  监控池: 200只 (主力200只/探索0只)
  [13:29:44] 资金=¥2, 持仓=2
  [13:29:50] 资金=¥2, 持仓=2
  [13:29:55] 资金=¥2, 持仓=2
  [13:30:00] 资金=¥2, 持仓=2
  [13:30:06] 资金=¥2, 持仓=2
  [13:30:11] 资金=¥2, 持仓=2
  [13:30:16] 资金=¥2, 持仓=2
  [13:30:22] 资金=¥2, 持仓=2
  [13:30:27] 资金=¥2, 持仓=2
  [13:30:32] 资金=¥2, 持仓=2
  [13:30:38] 资金=¥2, 持仓=2
  [13:30:43] 资金=¥2, 持仓=2
  [13:30:48] 资金=¥2, 持仓=2
  [13:30:54] 资金=¥2, 持仓=2
  [13:30:59] 资金=¥2, 持仓=2
  [13:31:04] 资金=¥2, 持仓=2
  [13:31:09] 资金=¥2, 持仓=2
  [13:31:15] 资金=¥2, 持仓=2
  [13:31:20] 资金=¥2, 持仓=2
  [13:31:25] 资金=¥2, 持仓=2
  [13:31:30] 资金=¥2, 持仓=2
  [13:31:36] 资金=¥2, 持仓=2
  [13:31:41] 资金=¥2, 持仓=2
  [13:31:46] 资金=¥2, 持仓=2
  [13:31:51] 资金=¥2, 持仓=2
  [13:31:57] 资金=¥2, 持仓=2
  [13:32:02] 资金=¥2, 持仓=2
  [13:32:07] 资金=¥2, 持仓=2
  [13:32:13] 资金=¥2, 持仓=2
  [13:32:18] 资金=¥2, 持仓=2
  [13:32:23] 资金=¥2, 持仓=2
  [13:32:29] 资金=¥2, 持仓=2
  [13:32:34] 资金=¥2, 持仓=2
  [13:32:39] 资金=¥2, 持仓=2
  [13:32:44] 资金=¥2, 持仓=2
  [13:32:50] 资金=¥2, 持仓=2
  [13:32:55] 资金=¥2, 持仓=2
  [13:33:00] 资金=¥2, 持仓=2
  [13:33:05] 资金=¥2, 持仓=2
  [13:33:10] 资金=¥2, 持仓=2
  [13:33:16] 资金=¥2, 持仓=2
  [13:33:21] 资金=¥2, 持仓=2
  [13:33:26] 资金=¥2, 持仓=2
  [13:33:33] 资金=¥2, 持仓=2
  [13:33:38] 资金=¥2, 持仓=2
  [13:33:43] 资金=¥2, 持仓=2
  [13:33:49] 资金=¥2, 持仓=2
  [13:33:54] 资金=¥2, 持仓=2
  [13:33:59] 资金=¥2, 持仓=2
  [13:34:04] 资金=¥2, 持仓=2
  [13:34:09] 资金=¥2, 持仓=2
  [13:34:15] 资金=¥2, 持仓=2
  [13:34:20] 资金=¥2, 持仓=2
  [13:34:25] 资金=¥2, 持仓=2
  [13:34:30] 资金=¥2, 持仓=2
  [13:34:36] 资金=¥2, 持仓=2
